,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
RIVR,14,16,30,62,40,9,282,206,0.45535714285714285,5.650140991050016,11.396923465655497,2.3296270591478967,88.99204855308327,-16.171448148427004,-0.01525723957934405
RMDDL,25,11,36,15,30,10,382,101,0.16363636363636364,-19.519066794688754,-4.438306415303309,2.0848038586000692,23.9868229809411,-48.74108365547599,0.04373142415911163
RMDDR,26,11,37,20,35,10,409,124,0.19230769230769232,-14.744135687579266,-0.7174899081323005,1.8459981528045617,35.86283413052843,-25.9606553430321,0.09786365408176059
RMDL,26,15,41,60,77,13,473,208,0.35128205128205126,5.810624283575258,34.69387925973961,3.7403665022423738,98.77591270461045,-1.8371777878867022,0.20032638970034988
RMDR,29,14,43,56,77,11,489,210,0.3275862068965517,5.996727612115102,32.503486489284654,1.3003572974964044,69.67567650985188,14.473237760658634,0.2671411549077536
RMDVL,21,10,31,18,26,8,341,105,0.20952380952380953,-10.757481215915341,-1.6744147359553239,1.3164345944226392,43.754508739071355,-28.8936662940379,0.001903170880218824
RMDVR,26,13,39,27,50,13,489,148,0.22781065088757396,-17.466755702001997,10.988194675803655,4.293182327523468,115.31937341756947,-31.898916565459416,0.10511080098375736
RMED,18,5,23,2,3,3,216,38,0.05555555555555555,-1.7757245011869713,-12.601075717308238,-1.585108724988106,-34.514872927293084,-20.38929817530132,-0.15780825764728398
RMEL,16,3,19,0,1,3,144,23,0.020833333333333332,6.397033299016787,-8.74839331558621,-0.5546814881159996,-75.72343451350869,-5.011893577761796,-0.21519647069426193
RMER,19,4,23,6,4,2,159,43,0.13157894736842105,6.860516613133889,-11.233101502105207,-2.5475065181430647,-106.3671314212263,-0.639739251643789,-0.04219605874415586
RMEV,19,3,22,1,4,3,192,14,0.08771929824561403,6.721826620345258,-9.585943794073184,-1.2710986055025177,-73.0954010647468,-14.670608640430132,-0.07192780202802046
RMFL,12,7,19,18,22,3,188,116,0.47619047619047616,5.852068841733356,10.77970982360167,-0.7050903154961654,27.685599462224104,28.989870727608064,0.0818054438018303
RMFR,18,15,33,61,56,6,277,279,0.43333333333333335,8.61117542669934,23.92734720237155,-1.3491878513935793,23.767823507912,70.91939571256222,0.07869046174106986
RMGL,12,27,39,97,22,6,156,334,0.36728395061728397,-12.374131302494021,-22.16344433703876,-3.2332485683071113,-9.749007667365731,-52.39274149666494,-0.3096591985502098
RMGR,15,23,38,73,33,8,180,263,0.3072463768115942,-17.604097952320075,-8.412363983397647,-0.8440340351314397,-30.034052792685856,-64.17493411447862,-0.23680244524616917
RMHL,17,8,25,18,18,6,210,151,0.2647058823529412,-0.13458562993056233,-1.263365348575313,0.824473242885758,-26.20607514631888,47.92288167861385,-0.016502549618045814
RMHR,19,9,28,22,26,7,249,161,0.2807017543859649,-1.4460334229229517,2.531109957734685,1.0704539186541986,-17.725783203623735,42.51460769228797,0.03628721907867605
SAADL,12,8,20,14,16,5,235,124,0.3125,-3.0092411654780093,3.132552115569652,1.0185017718632867,74.4138691057446,22.020740116394407,-0.09601293822758827
SAADR,13,7,20,9,8,4,220,99,0.18681318681318682,-3.373000051157156,-4.499473669227317,0.05610397870832795,44.5616106118114,11.770299040051952,-0.18211094432413882
