Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_505,0,4.1615477,8.019757,Unlabeled,❌
Neuron_506,0,45.057972,17.674206,Unlabeled,❌
Neuron_507,6,-14.145779,6.7775483,Unlabeled,❌
Neuron_508,0,-5.082838,12.136207,Unlabeled,❌
Neuron_509,0,0.06685981,8.005582,Unlabeled,❌
Neuron_510,6,-13.142017,7.061987,Unlabeled,❌
Neuron_511,6,-18.834906,3.4738867,Unlabeled,❌
Neuron_512,0,-2.0269349,11.595436,Unlabeled,❌
Neuron_513,6,-6.2569513,4.5024247,Unlabeled,❌
Neuron_514,6,-41.829502,9.8669,Unlabeled,❌
Neuron_515,6,-14.327352,6.923443,Unlabeled,❌
Neuron_516,6,-23.733776,4.9429646,Unlabeled,❌
Neuron_517,6,-35.545982,11.145275,Unlabeled,❌
Neuron_518,0,16.215733,8.9227915,Unlabeled,❌
