Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
vm2aR ,42.0,0.0,42.0
vm2pL ,42.0,0.0,42.0
vm2pR ,42.0,0.0,42.0
 ADAL        ,54.0,8.0,54.0
 ADAL          ,81.0,7.666666666666667,81.0
 ADAR        ,45.0,8.75,45.0
 ADAR          ,102.0,7.264705882352941,102.0
 ADEL        ,9.0,0.0,9.0
 ADEL          ,80.0,6.6,80.0
 ADER        ,51.0,6.0,51.0
 ADER          ,75.0,7.888888888888889,75.0
 ADFL        ,45.0,8.0,45.0
 ADFL          ,78.0,6.6875,78.0
 ADFR        ,66.0,8.5,66.0
 ADFR          ,94.0,6.970588235294118,94.0
 ADLL        ,39.0,6.0,39.0
 ADLL          ,39.0,7.6875,39.0
 ADLR        ,24.0,7.0,24.0
 ADLR          ,116.0,7.735294117647059,116.0
 AFDL        ,72.0,6.666666666666667,72.0
 AFDL          ,56.0,7.0,56.0
 AFDR        ,57.0,7.2,57.0
 AFDR          ,92.0,7.0,92.0
 AIAL        ,60.0,7.25,60.0
